	Participant ID	Slide Nr.	Learning Style Dimension	Content per AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
1039	34	13.0	Input	Key words	4939	235.0	96.0	488.0	21	0.0	273.0	Key words	2,78056	4508	237.0	96.0	488.0	19	325.0	244.0	2,77819	5367	895.0	360.0	2063.0	6	0.0	1273.0	5599	933.0	400.0	2107.0	6	0.0	1273.0	0	15	1665.0	1273.0	111,81	113,68
1043	34	16.0	Process	Theory	21220	272.0	72.0	696.0	78	30516.0	264.0	Exercise	2,6893	20928	275.0	108.0	696.0	76	30516.0	264.0	2,69274	24344	6086.0	72.0	22168.0	4	30516.0	22168.0	24472	6118.0	72.0	22264.0	4	30420.0	22264.0	0	72	30420.0	52685.0	401,75	141,71
1042	34	16.0	Process	Exercise	21306	197.0	64.0	744.0	108	54933.0	172.0	Exercise	2,71399	15176	233.0	84.0	744.0	65	54933.0	172.0	2,71723	37122	12374.0	196.0	35962.0	3	54933.0	964.0	37266	12422.0	236.0	35998.0	3	54865.0	1032.0	0	61	54865.0	55897.0	368,39	163,75
1041	34	16.0	Process	Example	14628	209.0	64.0	968.0	70	880.0	120.0	Exercise	2,84065	9948	262.0	140.0	968.0	38	2552.0	200.0	2,83708	24116	8039.0	520.0	22636.0	3	880.0	22636.0	24144	8048.0	520.0	22636.0	3	880.0	22636.0	0	41	27860.0	23516.0	76,8	381,89
1045	34	19.0	Input	Illustrations	2362	262.0	50.0	500.0	9	231.0	156.0	Illustrations	2,80042	2008	335.0	220.0	500.0	6	419.0	292.0	2,77678	2658	665.0	572.0	728.0	4	231.0	724.0	2814	704.0	604.0	772.0	4	203.0	752.0	0	3	2735.0	3507.0	138,49	126,07
1044	34	19.0	Input	Key words	1548	258.0	136.0	492.0	6	1007.0	148.0	Illustrations	2,68442	572	191.0	136.0	268.0	3	3551.0	136.0	2,58762	1664	555.0	492.0	664.0	3	1007.0	508.0	1708	569.0	492.0	708.0	3	1007.0	508.0	0	2	3507.0	2735.0	126,07	138,49
1048	34	22.0	Process	Theory	17924	201.0	64.0	512.0	89	36816.0	160.0	Example	2,66271	13624	206.0	64.0	512.0	66	36816.0	160.0	2,64966	24948	12474.0	1100.0	23848.0	2	36816.0	23848.0	25068	12534.0	1156.0	23912.0	2	36752.0	23912.0	0	59	36752.0	60665.0	248,87	343,99
1047	34	22.0	Process	Exercise	25868	223.0	64.0	680.0	116	232.0	148.0	Example	2,80742	17928	260.0	116.0	596.0	69	232.0	148.0	2,79469	36181	18090.0	12928.0	23252.0	2	232.0	23252.0	36272	18136.0	12960.0	23312.0	2	172.0	23312.0	0	72	172.0	23484.0	318,07	169,57
1046	34	22.0	Process	Example	21879	243.0	68.0	980.0	90	60745.0	280.0	Example	2,73525	16188	245.0	88.0	864.0	66	60745.0	280.0	2,71377	30015	7504.0	488.0	20251.0	4	60745.0	488.0	30211	7553.0	568.0	20291.0	4	60665.0	568.0	0	62	60665.0	61233.0	343,99	212,09
1050	34	25.0	Perception	Supporting text	24050	225.0	60.0	884.0	107	0.0	202.0	Multiple choice question	2,7395	19604	255.0	84.0	884.0	77	258.0	144.0	2,723	31962	15981.0	308.0	31654.0	2	0.0	31654.0	31978	15989.0	324.0	31654.0	2	0.0	31654.0	0	81				
1049	34	25.0	Perception	Multiple choice question	30122	228.0	64.0	1056.0	132	33358.0	96.0	Multiple choice question	2,61035	26332	239.0	64.0	1056.0	110	34662.0	88.0	2,60682	38290	6382.0	772.0	13392.0	6	33358.0	1836.0	38410	6402.0	772.0	13392.0	6	33358.0	1836.0	0	98	51382.0	35194.0	116,22	200,87
1052	34	28.0	Perception	Supporting text	13896	232.0	60.0	636.0	60	25552.0	196.0	Supporting text	2,64761	13384	235.0	60.0	636.0	57	25552.0	196.0	2,65542	19280	3856.0	468.0	10708.0	5	25552.0	932.0	19504	3901.0	476.0	10744.0	5	25452.0	1032.0	0	37	25452.0	26484.0	1146,19	146,07
1051	34	28.0	Perception	Multiple choice question	19636	255.0	60.0	976.0	77	580.0	100.0	Supporting text	2,72352	16828	276.0	60.0	976.0	61	1480.0	180.0	2,70554	23896	5974.0	316.0	14588.0	4	580.0	14588.0	24096	6024.0	348.0	14588.0	4	580.0	14588.0	0	59	15548.0	15168.0	1026,31	693,17
1054	34	31.0	Perception	Second additional material	10864	209.0	72.0	432.0	52	19920.0	152.0	Third additional material	2,64627	5044	210.0	112.0	304.0	24	19920.0	152.0	2,64213	17576	8788.0	152.0	17424.0	2	19920.0	152.0	17656	8828.0	168.0	17488.0	2	19904.0	168.0	0	24	21068.0	38556.0	217,9	309,15
1053	34	31.0	Perception	First additional material	13880	224.0	60.0	512.0	62	0.0	228.0	Third additional material	2,79551	9088	252.0	104.0	512.0	36	532.0	288.0	2,7908	20320	10160.0	904.0	19416.0	2	0.0	19416.0	20320	10160.0	904.0	19416.0	2	0.0	19416.0	0	39		21068.0		217,9
1055	34	31.0	Perception	Third additional material	20818	219.0	60.0	596.0	95	38616.0	268.0	Third additional material	2,60808	18472	237.0	60.0	596.0	78	38616.0	268.0	2,6024	28898	9633.0	396.0	27718.0	3	38616.0	784.0	29018	9673.0	444.0	27730.0	3	38556.0	844.0	0	57	38556.0	40400.0	309,15	102,97
1056	35	4.0	Understanding	Table of contents	16248	235.0	68.0	636.0	69	344.0	252.0	Summary	2,54762	14656	240.0	72.0	636.0	61	344.0	252.0	2,53741	19584	19584.0	19584.0	19584.0	1	344.0	19584.0	19612	19612.0	19612.0	19612.0	1	316.0	19612.0	0	60		19928.0		395,61
1057	35	4.0	Understanding	Summary	20020	204.0	68.0	716.0	98	19988.0	144.0	Summary	2,55273	16560	207.0	76.0	548.0	80	19988.0	144.0	2,55645	26984	26984.0	26984.0	26984.0	1	19988.0	26984.0	27044	27044.0	27044.0	27044.0	1	19928.0	27044.0	0	75	19928.0		395,61	
1058	35	7.0	Input	Key words	6780	188.0	60.0	564.0	36	3064.0	168.0	Key words	2,64068	6088	210.0	88.0	564.0	29	3064.0	168.0	2,64367	8280	552.0	128.0	1256.0	15	3064.0	440.0	8724	582.0	128.0	1296.0	15	3024.0	480.0	0	17	3024.0	3504.0	317,4	230,08
1059	35	7.0	Input	Illustrations	11600	276.0	72.0	900.0	42	343.0	208.0	Key words	2,6933	8896	297.0	88.0	900.0	30	343.0	208.0	2,68006	13548	903.0	72.0	2680.0	15	343.0	2680.0	14112	941.0	72.0	2724.0	15	299.0	2724.0	0	18	3504.0	3024.0	230,08	317,4
